ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UC,USO,JURISDICAO
desmatamento,6,2023,Sentinel-2,AM,0.05,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AM,0.05,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.04,Lábrea,FLONA do Iquiri,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AM,0.04,Canutama,FLONA de Balata-Tufari,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.01,Rio Preto da Eva,FES do Rio Urubu,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AC,0.04,Cruzeiro do Sul,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,6,2023,Sentinel-2,PA,0.04,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,PA,0.04,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AM,0.03,Iranduba,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.03,Tapauá,FES Tapauá,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.03,Borba,RDS Canumã,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.03,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,RO,0.03,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,PA,0.03,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,RO,0.03,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AC,0.03,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AC,0.03,Cruzeiro do Sul,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,6,2023,Sentinel-2,AC,0.02,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AM,0.03,Manacapuru,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,6,2023,Sentinel-2,PA,0.01,Trairão,FLONA de Itaituba II,Uso Sustentável,Federal
desmatamento,6,2023,Sentinel-2,AM,0.03,Novo Aripuanã,RDS do Juma,Uso Sustentável,Estadual
