ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,TERRA_INDI
desmatamento,"11","2018",Sentinel-1-2,RR,0.01,Caroebe,TI Trombetas/Mapuera
desmatamento,"11","2018",Sentinel-1-2,RO,0.07,Nova Mamoré,TI Karipuna
desmatamento,"11","2018",Sentinel-1-2,AM,0.02,Barreirinha,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,RR,0.02,Caroebe,TI Trombetas/Mapuera
desmatamento,"11","2018",Sentinel-1-2,RR,0.03,Caroebe,TI Trombetas/Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"10","2018",Sentinel-1-2,AM,0.04,Humaitá,TI Pirahã
desmatamento,"10","2018",Sentinel-1-2,AM,0.15,Humaitá,TI Tenharim/Marmelos
desmatamento,"10","2018",Sentinel-1-2,RR,0.04,Bonfim,TI Moskow
desmatamento,"10","2018",Sentinel-1-2,AM,0.05,Humaitá,TI Pirahã
desmatamento,"10","2018",Sentinel-1-2,AM,0.02,Humaitá,TI Tenharim/Marmelos
desmatamento,"11","2018",Sentinel-1-2,PA,0.18,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Itaituba,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,AM,0.03,Nhamundá,TI Kaxuyana-Tunayana
desmatamento,"10","2018",Sentinel-1-2,AM,0.02,Novo Aripuanã,TI Tenharim do Igarapé Preto
desmatamento,"10","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2018",Sentinel-1-2,AM,0.14,Canutama,TI Jacareúba/Katawixi
desmatamento,"10","2018",Sentinel-1-2,MT,0.04,Feliz Natal,PI Xingu
desmatamento,"10","2018",Sentinel-1-2,MT,0.03,Feliz Natal,PI Xingu
desmatamento,"10","2018",Sentinel-1-2,MT,0.01,Feliz Natal,PI Xingu
desmatamento,"10","2018",Sentinel-1-2,MT,0.01,Feliz Natal,PI Xingu
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,RR,0.03,Caroebe,TI Trombetas/Mapuera
desmatamento,"11","2018",Sentinel-1-2,AM,0.02,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,AM,0.04,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.06,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,AM,0.01,Nhamundá,TI Kaxuyana-Tunayana
desmatamento,"11","2018",Sentinel-1-2,AM,0.01,Nhamundá,TI Kaxuyana-Tunayana
desmatamento,"11","2018",Sentinel-1-2,AM,0.02,Barreirinha,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,AM,0.03,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,AM,0.02,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,RO,0.03,Nova Mamoré,TI Karipuna
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Aveiro,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Aveiro,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Jacareacanga,TI Mundurucu
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,RR,0.03,Rorainópolis,TI Waimiri Atroari
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Santarém,TI Maró
desmatamento,"11","2018",Sentinel-1-2,PA,0.13,Anapu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.16,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.12,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.06,Uruará,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.85,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"11","2018",Sentinel-1-2,PA,0.06,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.41,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"11","2018",Sentinel-1-2,PA,1.96,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.15,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.13,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.15,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,AM,0.04,Borba,TI Lago do Limão
desmatamento,"11","2018",Sentinel-1-2,PA,0.13,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Aveiro,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,AM,0.03,Manaquiri,TI Vista Alegre
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.30,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"11","2018",Sentinel-1-2,PA,0.83,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"11","2018",Sentinel-1-2,AM,0.10,Borba,TI Lago do Limão
desmatamento,"11","2018",Sentinel-1-2,AM,0.03,Borba,TI Lago do Limão
desmatamento,"11","2018",Sentinel-1-2,RR,0.07,Rorainópolis,TI Waimiri Atroari
desmatamento,"11","2018",Sentinel-1-2,RR,0.03,Rorainópolis,TI Waimiri Atroari
desmatamento,"11","2018",Sentinel-1-2,AM,0.03,Presidente Figueiredo,TI Waimiri Atroari
desmatamento,"11","2018",Sentinel-1-2,PA,0.08,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,RR,0.03,Rorainópolis,TI Waimiri Atroari
desmatamento,"12","2018",Sentinel-1-2,RR,0.01,Amajari,TI Yanomami
desmatamento,"12","2018",Sentinel-1-2,RR,0.01,Caroebe,TI Trombetas/Mapuera
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Novo Repartimento,TI Parakanã
desmatamento,"11","2018",Sentinel-1-2,PA,0.16,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Faro,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Faro,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,Faro,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Faro,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.21,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.10,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,RO,0.17,Cacoal,TI Sete de Setembro
desmatamento,"11","2018",Sentinel-1-2,RO,0.37,Cacoal,TI Sete de Setembro
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Aveiro,TI Andirá-Marau
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,AM,0.01,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Faro,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Faro,TI Kaxuyana-Tunayana
desmatamento,"11","2018",Sentinel-1-2,AM,0.01,Nhamundá,TI Nhamundá-Mapuera
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,RO,0.07,Espigão D'Oeste,TI Roosevelt
desmatamento,"11","2018",Sentinel-1-2,RO,0.05,Cacoal,TI Sete de Setembro
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,RO,0.12,Cacoal,TI Sete de Setembro
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.27,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.09,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Kayapó
desmatamento,"12","2018",Sentinel-1-2,RR,0.03,Amajari,TI Yanomami
desmatamento,"12","2018",Sentinel-1-2,RR,0.01,Rorainópolis,TI Waimiri Atroari
desmatamento,"12","2018",Sentinel-1-2,PA,0.19,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.09,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.54,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.15,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,MT,0.02,Peixoto de Azevedo,TI Menkragnoti
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,Jacareacanga,TI Mundurucu
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,MT,0.05,Peixoto de Azevedo,TI Capoto/Jarina
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.10,Ourilândia do Norte,TI Kayapó
desmatamento,"12","2018",Sentinel-1-2,PA,0.12,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.06,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.09,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.12,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.10,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Placas,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.01,Uruará,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.06,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Anapu,TI Trincheira/Bacajá
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.06,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.13,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.22,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.04,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Anapu,TI Trincheira/Bacajá
desmatamento,"12","2018",Sentinel-1-2,MT,0.02,Gaúcha do Norte,PI Xingu
desmatamento,"12","2018",Sentinel-1-2,MT,0.02,Gaúcha do Norte,PI Xingu
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"12","2018",Sentinel-1-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,MT,0.01,Gaúcha do Norte,PI Xingu
desmatamento,"12","2018",Sentinel-1-2,MT,0.03,Gaúcha do Norte,PI Xingu
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.01,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.01,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.02,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.13,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.03,Altamira,TI Ituna/Itatá
desmatamento,"12","2018",Sentinel-1-2,PA,0.15,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"9","2018",Sentinel-1-2,AM,0.08,Atalaia do Norte,TI Vale do Javari
desmatamento,"9","2018",Sentinel-1-2,AM,0.07,Atalaia do Norte,TI Vale do Javari
desmatamento,"9","2018",Sentinel-1-2,AM,0.04,Atalaia do Norte,TI Vale do Javari
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.49,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"9","2018",Sentinel-1-2,RO,0.13,Nova Mamoré,TI Karipuna
desmatamento,"9","2018",Sentinel-1-2,RO,0.06,Nova Mamoré,TI Karipuna
desmatamento,"9","2018",Sentinel-1-2,RO,0.02,Nova Mamoré,TI Karipuna
desmatamento,"9","2018",Sentinel-1-2,RO,0.26,Nova Mamoré,TI Karipuna
desmatamento,"9","2018",Sentinel-1-2,RO,0.08,Nova Mamoré,TI Karipuna
desmatamento,"9","2018",Sentinel-1-2,AM,0.04,Atalaia do Norte,TI Vale do Javari
desmatamento,"9","2018",Sentinel-1-2,RO,0.33,Nova Mamoré,TI Karipuna
desmatamento,"11","2018",Sentinel-1-2,PA,0.16,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.01,São Félix do Xingu,TI Apyterewa
desmatamento,"11","2018",Sentinel-1-2,PA,0.02,São Félix do Xingu,TI Apyterewa
